lemmatize_data,translate_data,sentimen
nomor urut dua boneka saja,serial number of two dolls only,Netral
dukungan nomor dua,support number two,Netral
nomor dua masuk akal janji mengomong kebenaran transportasi sungai biaya transport nya efisien biaya bahan bakar minyak kapal murah kapal kapalan geleng geleng,number two makes sense promise to speak the truth river transportation transportation costs are efficient fuel costs cheap ships calloused ships shaking,Positif
mandiri iya,independent yes,Netral
sejarah dharma kun,history of dharma kun,Netral
dua dharma kun,two dharma kun,Netral
jakarta proyeksi pemimpin indonesia nya mendukung pilih dharma kun nomor dua warga jakarta,jakarta projection of indonesian leaders supports choosing dharma kun number two jakarta residents,Netral
dukunglah pilihan ucapkanlah kelebihan-kelebihan pilihan menjatuhkan menjelek-jelekkan pasangan calon,"support the choice, state the advantages of the choice, drop the choice, badmouth the candidate pair",Netral
mandiri dua,independent two,Netral
nomor dua laksanakan aneh aneh,number two do weird things,Negatif
pasangan calon satu oligarki pasangan calon dua mandiri pasangan calon tiga partai penguasa,candidate pair one oligarchy candidate pair two independent candidate pair three ruling party,Netral
dengar nomor dua kaya menangis prabowo sulit kata-kata semangat kalimat-kalimatnya hati semangat dharma suara ku,listen number two like crying prabowo difficult words of encouragement sentences heart spirit dharma my voice,Negatif
coblos urut nomor dua mandiri terpercaya diatur partai politik,vote in order of number two independent trusted arranged by political parties,Netral
mari mendukung partai politik gubernur daerah khusus ibukota jakarta berkualitas atur partai partai mandiri iya,"let's support the quality political party of the governor of the special capital region of jakarta, organize independent parties, yes",Positif
nomor urut dua Iya love dharma pangrekun mari mendukung mandiri,serial number two yes love dharma pangrekun let's support mandiri,Positif
dharma terbaik aneh aneh mandiri diatur partai politik,dharma best strange strange independent regulated political party,Positif
calon gubernur mandiri maju diatur partai partai politik berdoa menjabat gubernur daerah khusus ibukota jakarta,"independent gubernatorial candidates advance, regulated by political parties, praying to serve as governor of the special capital region of jakarta",Positif
debat multi tafsir penilaian tergantung posisi mendukung paham mata menilai program dibicarakan jejak rekam gaya berbicara karakter program gagasan pinjam pikiran orang konsultan kemampuan eksekusi tergantung karakter pasangan calon bebas program gagasan janji politik masyarakat memilih bebas berhak menuntut janji ditepati jawabannya diperjuangkan nol warga daerah khusus ibukota cerdas rasional hak pilihannya mandiri mandiri,multi-interpretive debate assessment depends on position support understanding eyes assess program discussed track record speaking style character program ideas borrow people's thoughts consultant ability to execute depends on character candidate pair free program ideas political promises society chooses freely has the right to demand promises be kept the answer is fought for zero citizens of the special capital region smart rational right to choose independent independent,Positif
menolak vaksin corona mending pilih nomor dua,"reject the corona vaccine, better choose number two",Positif
