lemmatize_data,translate_data,sentimen
pramono rano,pramono rano,Netral
pasangan calon satu oligarki pasangan calon dua mandiri pasangan calon tiga partai penguasa,candidate pair one oligarchy candidate pair two independent candidate pair three ruling party,Netral
semoga sukses dharma doel gubernur daerah khusus jakarta salam santun sukses doakan maju pantang mundur,good luck dharma doel governor of the special region of jakarta polite greetings success pray for progress never retreat,Positif
semangat tuan pramono,"keep up the spirit, mr. pramono",Netral
satu buka kertas dua coblos tiga lipat,one open paper two marks three folds,Netral
janji-janji manismu doel,your sweet promises doel,Positif
rano karno mengomong ganjar abang doel sutradara saja film sih doel cocok gubernur jakarta,"rano karno said that ganjar, brother doel, is the director of the film, doel is suitable for the governor of jakarta",Positif
ridwan kamil eks gubernur jawa barat pulang pasangan pramono rano karno,"ridwan kamil, former governor of west java, returns home with pramono rano karno's partner",Netral
asli betawi utusan forum betawi rempug,original betawi betawi forum messenger rempug,Positif
sukses kedepannya pramono abang doel,"good luck in the future, pramono, brother doel",Positif
tuan pramono abang doel berantas narkoba akar akar nya pelaku aparat membekingi nya nya,"mr. pramono, brother doel, eradicates drugs at the root of the perpetrators, the authorities are backing them up",Netral
didengar disimpulkan ketiga pasangan calon pasangan calon nomor urut tiga merakyat mengayomi rakyat mudahan dharma kun terpilih,"heard concluded the third pair of candidates candidate pair number three are people-oriented, protecting the people, hopefully dharma kun will be elected",Netral
doel ridwan rusak sayangnya semangatnya rusak,doel ridwan is damaged unfortunately his spirit is damaged,Negatif
doel suruh suruh debat diam saja makan kacang saja bagusnya debat,"doel orders you to debate, just be quiet, just eat peanuts, it's good to debate",Positif
nomor tiga pramono doel menang satu putaran,number three pramono doel wins one round,Positif
nomor tiga pembukaan salam muslim simple adil simple saja dilupakan,number three opening greeting muslim simple just simple just forgotten,Netral
menyala abang rano tuan pramono jakarta butuh perubahan,lit up brother rano tuan pramono jakarta needs change,Netral
sukses ya abang doel mendukung,"good luck bro doel, support me",Positif
pramono abang doel,pramono is the eldest brother,Netral
tiga pilihanku,my three choices,Netral
pramono abang doel cocok pemimpin daerah khusus ibukota jakarta,pramono abang doel is suitable as the leader of the special capital region of jakarta,Positif
tiga sok angkuh sombong hati diborong,three arrogant arrogant hearts bought,Netral
pramono rano,pramono rano,Netral
nomor tiga mantap pimpin jakarta menyala,number three steady leads jakarta to light up,Positif
tim nasional kritik peduli doel,national team criticize care doel,Netral
rano karno kaya ganjar angkuh,rano karno is rich and arrogant,Positif
satu rukun warga satu miliar satu juta menang logika rumit pilih nomor tiga,one citizen unit one billion one million wins complicated logic choose number three,Negatif
nomor tiga,number three,Netral
tiga sih,three of them,Netral
doel doel si doel si doel bodoh ridwan kamil kesepuluh gubernur doel,doel doel si doel si doel fool ridwan kamil tenth governor of doel,Netral
lihat tampang nomor 1 cari muka nomor dua percaya nomor tiga sederhana terserah suka,look at the appearance number 1 look for the face number two trust number three simple whatever you like,Netral
bismillah nomor tiga,bismillah number three,Netral
nomor tiga,number three,Netral
pramono doel,pramono doel,Netral
tiga,three,Netral
